Date,KO,PEP
2018-06-26,34.613258361816406,86.83495330810547
2018-06-27,34.40555953979492,87.01172637939453
2018-06-28,34.725093841552734,87.34125518798828
2018-06-29,35.036643981933594,87.49393463134766
2018-07-02,34.94876480102539,88.02435302734375
2018-07-03,35.14048767089844,87.43768310546875
2018-07-05,35.67570114135742,88.0404281616211
2018-07-06,35.65972900390625,88.0484619140625
2018-07-09,35.468017578125,86.60186004638672
2018-07-10,35.92334747314453,90.72462463378906
2018-07-11,35.779544830322266,90.44335174560547
2018-07-12,35.68368148803711,89.63165283203125
2018-07-13,35.7396240234375,90.56389617919922
2018-07-16,35.73162078857422,90.78087615966797
2018-07-17,36.14701461791992,92.32391357421875
2018-07-18,36.04315948486328,92.2837142944336
2018-07-19,36.03517532348633,93.03915405273438
2018-07-20,36.17097854614258,93.23202514648438
2018-07-23,35.9073600769043,91.93012237548828
2018-07-24,36.15499496459961,92.21139526367188
2018-07-25,36.81802749633789,92.58911895751953
2018-07-26,36.93784713745117,92.42031860351562
2018-07-27,36.91389846801758,91.8416976928711
2018-07-30,36.929874420166016,91.76136016845703
2018-07-31,37.249393463134766,92.42031860351562
2018-08-01,37.057674407958984,91.30327606201172
2018-08-02,36.88991928100586,92.17122650146484
2018-08-03,37.24140167236328,93.46510314941406
2018-08-06,37.265380859375,94.33301544189453
2018-08-07,37.145545959472656,91.79348754882812
2018-08-08,36.86595153808594,91.2068099975586
2018-08-09,37.02572250366211,91.37560272216797
2018-08-10,36.810035705566406,90.70856475830078
2018-08-13,36.61033248901367,90.8291015625
2018-08-14,36.65825653076172,90.8934097290039
2018-08-15,36.810035705566406,91.17469787597656
2018-08-16,36.921878814697266,91.81759643554688
2018-08-17,37.22542953491211,92.38818359375
2018-08-20,37.329280853271484,92.2917709350586
2018-08-21,36.921878814697266,91.39166259765625
2018-08-22,36.69021224975586,90.2022476196289
2018-08-23,36.5064811706543,89.95311737060547
2018-08-24,36.4505729675293,90.12992095947266
2018-08-27,36.498497009277344,90.33887481689453
2018-08-28,36.24287033081055,89.34236145019531
2018-08-29,36.21092224121094,90.04956817626953
2018-08-30,35.9073600769043,89.97724151611328
2018-08-31,35.60380172729492,90.01741790771484
2018-09-04,35.755584716796875,89.20571899414062
2018-09-05,36.25086212158203,90.90946197509766
2018-09-06,36.562408447265625,91.9693374633789
2018-09-07,36.522464752197266,91.353515625
2018-09-10,36.794063568115234,92.02606201171875
2018-09-11,36.76210403442383,91.83158874511719
2018-09-12,36.93784713745117,92.25297546386719
2018-09-13,36.9217414855957,93.17670440673828
2018-09-14,37.05064392089844,92.83637237548828
2018-09-17,37.31649398803711,93.5089340209961
2018-09-18,37.00230026245117,92.35830688476562
2018-09-19,37.02647018432617,92.18811798095703
2018-09-20,37.57427978515625,93.3630599975586
2018-09-21,37.525962829589844,93.11187744140625
2018-09-24,37.11509704589844,90.97268676757812
2018-09-25,36.80089569091797,90.72956848144531
2018-09-26,36.93783950805664,90.34873962402344
2018-09-27,37.06674575805664,89.98412322998047
2018-09-28,37.21177291870117,90.59183502197266
2018-10-01,37.24400329589844,89.7085952758789
2018-10-02,37.469566345214844,88.0960922241211
2018-10-03,36.95396041870117,87.12374877929688
2018-10-04,36.93783950805664,86.38636779785156
2018-10-05,36.9620246887207,86.28913879394531
2018-10-08,37.445404052734375,87.6666488647461
2018-10-09,37.37289047241211,87.60990905761719
2018-10-10,36.80089569091797,86.9778823852539
2018-10-11,35.963050842285156,85.13040161132812
2018-10-12,35.99527359008789,85.30865478515625
2018-10-15,36.180572509765625,85.59226989746094
2018-10-16,36.647823333740234,87.01840209960938
2018-10-17,36.9459114074707,87.76387786865234
2018-10-18,36.7444953918457,87.45594787597656
2018-10-19,37.324554443359375,89.36827087402344
2018-10-22,37.03452682495117,88.64710998535156
2018-10-23,37.34872817993164,89.23863220214844
2018-10-24,37.64679718017578,91.53179168701172
2018-10-25,37.469566345214844,91.4426498413086
2018-10-26,36.99424362182617,89.49793243408203
2018-10-29,37.42928695678711,91.47506713867188
2018-10-30,38.37187194824219,92.18811798095703
2018-10-31,38.573265075683594,91.06180572509766
2018-11-01,38.46048355102539,90.35684204101562
2018-11-02,38.66994094848633,90.08135986328125
2018-11-05,39.22582244873047,92.69051361083984
2018-11-06,39.564186096191406,93.35496520996094
2018-11-07,39.773651123046875,93.6790771484375
2018-11-08,39.74142837524414,94.0437240600586
2018-11-09,40.02339172363281,95.19434356689453
2018-11-12,40.17645263671875,94.7811050415039
2018-11-13,40.16840362548828,94.91883850097656
2018-11-14,40.08784484863281,94.52180480957031
2018-11-15,40.07172775268555,94.64334869384766
2018-11-16,40.41814041137695,95.8993148803711
2018-11-19,40.692054748535156,96.43411254882812
2018-11-20,39.78170394897461,93.99510192871094
2018-11-21,39.258052825927734,93.41169738769531
2018-11-23,39.491676330566406,93.51703643798828
2018-11-26,39.37084197998047,93.88166046142578
2018-11-27,39.773651123046875,94.35164642333984
2018-11-28,40.04755783081055,96.0208511352539
2018-11-29,39.771480560302734,95.8344955444336
2018-11-30,40.92451095581055,98.80830383300781
2018-12-03,40.347999572753906,96.40979766845703
2018-12-04,40.25867462158203,95.45364379882812
2018-12-06,40.096282958984375,95.42750549316406
2018-12-07,39.860809326171875,94.59443664550781
2018-12-10,39.98261260986328,94.89662170410156
2018-12-11,40.2261962890625,95.79505157470703
2018-12-12,39.966365814208984,95.55819702148438
2018-12-13,40.169368743896484,96.66078186035156
2018-12-14,40.06379699707031,93.06712341308594
2018-12-17,39.24368667602539,92.18506622314453
2018-12-18,39.235572814941406,91.34383392333984
2018-12-19,38.894527435302734,89.87370300292969
2018-12-20,38.602210998535156,90.01256561279297
2018-12-21,38.62656784057617,89.36732482910156
2018-12-24,37.31925964355469,86.59857177734375
2018-12-26,38.115020751953125,88.47709655761719
2018-12-27,38.594085693359375,89.36732482910156
2018-12-28,38.32612991333008,90.13506317138672
2018-12-31,38.447933197021484,90.2330551147461
2019-01-02,38.10688781738281,89.25299835205078
2019-01-03,37.871402740478516,88.41992950439453
2019-01-04,38.62656784057617,90.2330551147461
2019-01-07,38.12312698364258,89.45716094970703
2019-01-08,38.55349349975586,90.31475067138672
2019-01-09,37.814579010009766,87.79103088378906
2019-01-10,38.22056579589844,88.330078125
2019-01-11,38.439815521240234,88.33822631835938
2019-01-14,38.28553009033203,87.65217590332031
2019-01-15,38.62656784057617,89.01612854003906
2019-01-16,38.098777770996094,88.4852523803711
2019-01-17,38.212459564208984,89.20398712158203
2019-01-18,38.65904998779297,89.898193359375
2019-01-22,38.74837112426758,89.76751708984375
