Date,XOM,CVX
2018-06-26,57.56999206542969,90.55550384521484
2018-06-27,58.33390426635742,91.89749908447266
2018-06-28,58.519500732421875,91.64950561523438
2018-06-29,59.06208801269531,92.21110534667969
2018-07-02,58.36957931518555,90.62113189697266
2018-07-03,58.7122688293457,90.9712142944336
2018-07-05,58.762237548828125,90.4242172241211
2018-07-06,58.77652359008789,90.54088592529297
2018-07-09,59.183475494384766,91.89019012451172
2018-07-10,59.72602462768555,93.05715942382812
2018-07-11,58.96215057373047,90.08870697021484
2018-07-12,59.033538818359375,90.62843322753906
2018-07-13,59.476173400878906,90.46797180175781
2018-07-16,58.890750885009766,89.69487762451172
2018-07-17,58.762237548828125,88.91446685791016
2018-07-18,58.698001861572266,88.6373062133789
2018-07-19,58.54807662963867,88.73943328857422
